id,question,options,answer,level,subIndex,isPremium,blockId,createdAt,updatedAt
B01-E1,Order the code for BLOCK-01 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-01,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B01-E2,Order the code for BLOCK-01 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-01,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B01-M1,Order the code for BLOCK-01 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-01,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B01-M2,Order the code for BLOCK-01 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-01,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B01-S1,Order the code for BLOCK-01 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,1,True,BLOCK-01,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B01-S2,Order the code for BLOCK-01 (SENIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",SENIOR,2,True,BLOCK-01,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B02-E1,Order the code for BLOCK-02 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,1,False,BLOCK-02,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B02-E2,Order the code for BLOCK-02 (ENTRY):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",ENTRY,2,False,BLOCK-02,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B02-M1,Order the code for BLOCK-02 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,1,True,BLOCK-02,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
B02-M2,Order the code for BLOCK-02 (JUNIOR):,"{""def __init__(self):"", ""self.name = name"", ""class Jenga:""}","{2, 0, 1}",JUNIOR,2,True,BLOCK-02,2026-03-30T16:13:33.168916,2026-03-30T16:13:33.168916
